 EMPOT33K, EMPOT43,A,JOB01789  ,0 days 00:00:00.000000000,     0:00:00.33     ,"         2 //RUNJCL   EXEC PGM=IKJEFT01,DYNAMNBR=20                                00030000", IKJEFT01,0000,RUN SUCCESSFULL,"DSNB10.SDSNEXIT,EMPOT33.DIVYA.DBRMLIB,EMPOT33.DIVYA.INVF,EMPOT33.DIVYA.LCKF,", 16.18.01, 16.18.01,"[' DD  DSN=DSNB10.SDSNEXIT', 'DISP=SHR                       00060021', ' DD DSN=EMPOT33.DIVYA.DBRMLIB', '', '', '                       KEPT', '                       KEPT', '                       KEPT', ')', ' DD  DSN=DSNB10.SDSNEXIT', 'DISP=SHR                       00060021', ' DD DSN=EMPOT33.DIVYA.DBRMLIB', '', '', '                       KEPT', '                       KEPT', '                       KEPT', ')', ' DD  DSN=DSNB10.SDSNEXIT', 'DISP=SHR                       00060021', ' DD DSN=EMPOT33.DIVYA.DBRMLIB', '', '', '                       KEPT', '                       KEPT', '                       KEPT', ')']","['         CPU:     0 HR  00 MIN  00.33 SEC    SRB:     0 HR  00 MIN  00.01 SEC', '1READY', '  DSN SYSTEM (DBBG)', ' DSN', ""  RUN PROGRAM(XYZPSDB2)  PLAN(XYZPSDB2)  LIB('EMPOT33.DIVYA.LOADLIB')"", ' DSN', ' END', ' lck01inv01divya                ssn000001  1456750000000000000000chk0000012020-02-24L        00000100', ' **************', ' lck01inv01divya                ssn000001  1456750000000000000000chk0000012020-02-24L', ' INVALID LOCK BOX NUMBER', ' INVALID LOCK BOX NUMBER', ' INVALID LOCK BOX NUMBER', ' WS-FS146', ' ERROR IN LCK-FILE', ' WS-FS146', ' ERROR IN LCK-FILE', ' WS-FS146', ' ERROR IN LCK-FILE', ' WS-FS146', ' ERROR IN LCK-FILE', ' WS-FS146', ' ERROR IN LCK-FILE', '', '         CPU:     0 HR  00 MIN  00.33 SEC    SRB:     0 HR  00 MIN  00.01 SEC', '1READY', '  DSN SYSTEM (DBBG)', ' DSN', ""  RUN PROGRAM(XYZPSDB2)  PLAN(XYZPSDB2)  LIB('EMPOT33.DIVYA.LOADLIB')"", ' DSN', ' END', ' lck01inv01divya                ssn000001  1456750000000000000000chk0000012020-02-24L        00000100', ' **************', ' lck01inv01divya                ssn000001  1456750000000000000000chk0000012020-02-24L', ' INVALID LOCK BOX NUMBER', ' INVALID LOCK BOX NUMBER', ' INVALID LOCK BOX NUMBER', ' WS-FS146', ' ERROR IN LCK-FILE', ' WS-FS146', ' ERROR IN LCK-FILE', ' WS-FS146', ' ERROR IN LCK-FILE', ' WS-FS146', ' ERROR IN LCK-FILE', ' WS-FS146', ' ERROR IN LCK-FILE', '', '', ' ERROR IN LCK-FILE', ' WS-FS146', ' ERROR IN LCK-FILE', ' WS-FS146', ' ERROR IN LCK-FILE', ' WS-FS146', ' ERROR IN LCK-FILE', ' WS-FS146', ' ERROR IN LCK-FILE', ' WS-FS146', ' INVALID LOCK BOX NUMBER', ' INVALID LOCK BOX NUMBER', ' INVALID LOCK BOX NUMBER', ' lck01inv01divya                ssn000001  1456750000000000000000chk0000012020-02-24L', ' **************', ' lck01inv01divya                ssn000001  1456750000000000000000chk0000012020-02-24L        00000100', ' END', ' DSN', ""  RUN PROGRAM(XYZPSDB2)  PLAN(XYZPSDB2)  LIB('EMPOT33.DIVYA.LOADLIB')"", ' DSN', '  DSN SYSTEM (DBBG)', '1READY', '         CPU:     0 HR  00 MIN  00.33 SEC    SRB:     0 HR  00 MIN  00.01 SEC']"
 EMPOT34R, EMPOT34,A,JOB01486  ,0 days 00:00:00.000000000,     0:00:00.12     ,         2 //STEP1    EXEC PGM=CODE1                                               00070000, CODE1                                               00070000,0000,RUN SUCCESSFULL,"EMPOT34.BINDU.ASSIGNPS,EMPOT34.BINDU.INPUTPS,EMPOT34.BINDU.KSDS,RETAINED,,DDNAME=OUT,EMPOT34.BINDU.OUTPS1,EMPOT34.BINDU.OUTPS2,", 15.14.08, 15.14.08,"[' DD DSN=EMPOT34.TEST.LOADLIB', 'DISP=SHR                         00080000', '', '                        KEPT']","['         CPU:     0 HR  00 MIN  00.12 SEC    SRB:     0 HR  00 MIN  00.00 SEC', ' FLAG STATUS OF OPEN-FILE: 00', ' FLAG STATUS OF OPEN-FILE: 00', ' FLAG STATUS OF OPEN-FILE: 00', ' FLAG STATUS OF OPEN-FILE: 00', ' FLAG STATUS AFTER EVERY READ: 00', ' ITEM008ALTERNATOR      20  8054661610932 11/02/202019/02/2020', ' 20200221', ' WS-ORDER-DATE11/02/2020', ' 2020', ' 02', ' 11', ' WS-DATE IS 20200211', ' DAY100153088', ' DAY200153078', ' DIFFERENCE IS 010', ' IN IF CONDITION', ' ITEM008', ' 1610932', ' FLAG STATUS OF OPEN-FILE: 37', ' FLAG STATUS AFTER OPENING FILE37', '']"
 MINDT01C, MINDT01,A,JOB06582  ,0 days 00:00:00.000000000,     0:00:00.02     ,"         2 //STEP1 EXEC PGM=READF,PARM=('ALFA-ROMERO    AUDI            ')", READF,0000,RUN SUCCESSFULL,"MINDT01.BINDU.KSDS.TASK,RETAINED,,", 02.07.21, 02.07.21,"['DD DSN=IBMUSER.LOAD.LIB', 'NAME', '']","['         CPU:     0 HR  00 MIN  00.02 SEC    SRB:     0 HR  00 MIN  00.00 SEC', ' FILE-STATUS AFTER OPEN INPUTFILE00', ' END OF THE FILE REACHED 10', ' COUNT OF ALFA-ROMERO    IS 003', ' COUNT OF AUDI           IS 006', ' WS-FS AFTER CLOSE 00', '']"
 MINDT01C, MINDT01,A,JOB06582  ,0 days 00:00:00.000000000,     0:00:00.02     ,"         2 //STEP1 EXEC PGM=READF,PARM=('ALFA-ROMERO    AUDI            ')", READF,0000,RUN SUCCESSFULL,"MINDT01.BINDU.KSDS.TASK,RETAINED,,", 02.07.21, 02.07.21,"['DD DSN=IBMUSER.LOAD.LIB', 'NAME', '']","['         CPU:     0 HR  00 MIN  00.02 SEC    SRB:     0 HR  00 MIN  00.00 SEC', ' FILE-STATUS AFTER OPEN INPUTFILE00', ' END OF THE FILE REACHED 10', ' COUNT OF ALFA-ROMERO    IS 003', ' COUNT OF AUDI           IS 006', ' WS-FS AFTER CLOSE 00', '']"
 MINDT01Z, MINDT01,A,JOB06279  ,0 days 00:00:03.000000000,     0:00:01.20     ,         2 //STEP1    EXEC PGM=ICEMAN, ICEMAN,0000,RUN SUCCESSFULL,"MINDT01.DIVYA.PDATA,MINDT01.DIVYA.CONCSVF,", 02.04.06, 02.04.09,"[' DD   DSN=&LIB', ' DD  DISP=SHR', '', '']","['0IDC0002I IDCAMS PROCESSING COMPLETE. MAXIMUM CONDITION CODE WAS 0', '1ICE600I 0 DFSORT ICETOOL UTILITY RUN STARTED', '', ' ICE650I 0 VISIT http://www.ibm.com/storage/dfsort FOR ICETOOL PAPERS, EXAMPLES', '', ' ICE632I 0 SOURCE FOR ICETOOL STATEMENTS:  TOOLIN', '', '', ' ICE630I 0 MODE IN EFFECT:  STOP', '', '             SELECT FROM(IN) TO(OUT1) DISCARD(OUT2) ON(1,5,CH) FIRST', ' ICE627I 0 DFSORT CALL 0001 FOR SORT FROM IN       TO OUTFIL   COMPLETED', ' ICE628I 0 RECORD COUNT:  000000000043400', ' ICE638I 0 NUMBER OF RECORDS RESULTING FROM CRITERIA:  000000000043400', ' ICE602I 0 OPERATION RETURN CODE:  00', '', '', ' ICE601I 0 DFSORT ICETOOL UTILITY RUN ENDED - RETURN CODE:  00', '1ICE200I 0 IDENTIFIER FROM CALLING PROGRAM IS 0001', ' ICE201I 0 RECORD TYPE IS F - DATA STARTS IN POSITION 1', ' ICE751I 0 C5-I21470 C6-BASE   C7-K96411 C8-I25275 E4-BASE   C9-BASE   E5-I25610', ' ICE143I 0 BLOCKSET     SORT  TECHNIQUE SELECTED', ' ICE250I 0 VISIT http://www.ibm.com/storage/dfsort FOR DFSORT PAPERS, EXAMPLES A', ' ICE000I 0 - CONTROL STATEMENTS FOR 5650-ZOS, Z/OS DFSORT V2R1  - 02:04 ON TUE A', '0          DEBUG NOABEND,ESTAE', '           OPTION MSGDDN=DFSMSG,LIST,MSGPRT=ALL,RESINV=0,SORTIN=IN,SORTOUT=OUT1,', '                          NALLOC,SZERO,EQUALS,NOVLSHRT,LOCALE=NONE,NOCHECK', '           SORT FIELDS=(1,5,CH,A)', '           MODS E35=(ICE35DU,12288)', '           OUTFIL FNAMES=OUT1', '           OUTFIL FNAMES=OUT2', ' ICE193I 0 ICEAM2 INVOCATION ENVIRONMENT IN EFFECT - ICEAM2 ENVIRONMENT SELECTED', ' ICE088I 1 MINDT01Z.STEP3   .        , INPUT LRECL = 100, BLKSIZE = 1000, TYPE =', ' ICE093I 0 MAIN STORAGE = (MAX,6291456,6291456)', ' ICE156I 0 MAIN STORAGE ABOVE 16MB = (6250480,6234096)', ' ICE127I 0 OPTIONS: OVFLO=RC0 ,PAD=RC0 ,TRUNC=RC0 ,SPANINC=RC16,VLSCMP=N,SZERO=Y', ' ICE128I 0 OPTIONS: SIZE=6291456,MAXLIM=1048576,MINLIM=450560,EQUALS=Y,LIST=Y,ER', ' ICE129I 0 OPTIONS: VIO=N,RESDNT=ALL ,SMF=NO   ,WRKSEC=Y,OUTSEC=Y,VERIFY=N,CHALT', ' ICE130I 0 OPTIONS: RESALL=4096,RESINV=0,SVC=109 ,CHECK=N,WRKREL=Y,OUTREL=Y,CKPT', ' ICE131I 0 OPTIONS: TMAXLIM=6291456,ARESALL=0,ARESINV=0,OVERRGN=16384,CINV=Y,CFW', ' ICE132I 0 OPTIONS: VLSHRT=N,ZDPRINT=Y,IEXIT=N,TEXIT=N,LISTX=N,EFS=NONE    ,EXIT', ' ICE133I 0 OPTIONS: HIPRMAX=OPTIMAL,DSPSIZE=MAX ,ODMAXBF=2097152,SOLRF=Y,VLLONG=', ' ICE235I 0 OPTIONS: NULLOUT=RC0', ' ICE236I 0 OPTIONS: DYNAPCT=10 ,MOWRK=Y,TUNE=STOR,EXPMAX=MAX    ,EXPOLD=50%    ,', ' ICE084I 0 EXCP ACCESS METHOD USED FOR IN', ' ICE750I 0 DC 4340000 TC 0 CS DSVVV KSZ 9 VSZ 9', ' ICE752I 0 FSZ=43400 RC  IGN=0 E  AVG=104 0  WSP=5862 C  DYN=0 0', ' ICE231I 0 STORAGE USED FOR OUTFIL : BELOW 16M = 20480, ABOVE 16M = 905216', ' ICE210I 0 OUT1     : EXCP USED, LRECL = 100, BLKSIZE = 1000, TYPE = FB', ' ICE210I 0 OUT2     : EXCP USED, LRECL = 100, BLKSIZE = 1000, TYPE = FB', ' ICE751I 1 DE-BASE   D5-I18897 D3-BASE   D7-BASE   CB-BASE   E8-I12417', ' ICE055I 0 INSERT 0, DELETE 0', ' ICE054I 0 RECORDS - IN: 43400, OUT: 43400', ' ICE227I 0 OUT1     : DELETED = 0, REPORT = 0, DATA = 43400', ' ICE228I 0 OUT1     : TOTAL IN = 43400, TOTAL OUT = 43400', ' ICE227I 0 OUT2     : DELETED = 43400, REPORT = 0, DATA = 0', ' ICE228I 0 OUT2     : TOTAL IN = 43400, TOTAL OUT = 0', ' ICE174I 0 NO DATA RECORDS FOR AN OUTFIL DATA SET - RC=0', ' ICE134I 0 NUMBER OF BYTES SORTED: 4340000', ' ICE253I 0 RECORDS SORTED - PROCESSED: 43400, EXPECTED: 43400', ' ICE165I 0 TOTAL WORK DATA SET TRACKS ALLOCATED: 0 , TRACKS USED: 0', ' ICE199I 0 MEMORY OBJECT USED AS MAIN STORAGE = 0M BYTES', ' ICE299I 0 MEMORY OBJECT USED AS WORK STORAGE = 5M BYTES', ' ICE180I 0 HIPERSPACE STORAGE USED = 0K BYTES', ' ICE188I 0 DATA SPACE STORAGE USED = 0K BYTES', ' ICE052I 0 END OF DFSORT', '1ICE201I 0 RECORD TYPE IS F - DATA STARTS IN POSITION 1', ' ICE751I 0 C5-I21470 C6-BASE   C7-K96411 C8-I25275 E9-BASE   C9-BASE   E5-I25610', ' ICE143I 0 BLOCKSET     COPY  TECHNIQUE SELECTED', ' ICE250I 0 VISIT http://www.ibm.com/storage/dfsort FOR DFSORT PAPERS, EXAMPLES A', ' ICE000I 1 - CONTROL STATEMENTS FOR 5650-ZOS, Z/OS DFSORT V2R1  - 02:04 ON TUE A', '0                SORT FIELDS=COPY', ""                 OUTFIL FILES=01,INCLUDE=(6,6,CH,EQ,C'Male')"", ""                 OUTFIL FILES=02,INCLUDE=(6,6,CH,EQ,C'Female')"", ' ICE193I 0 ICEAM1 INVOCATION ENVIRONMENT IN EFFECT - ICEAM1 ENVIRONMENT SELECTED', ' ICE088I 0 MINDT01Z.STEP4   .        , INPUT LRECL = 100, BLKSIZE = 1000, TYPE =', ' ICE093I 0 MAIN STORAGE = (MAX,6291456,6291456)', ' ICE156I 0 MAIN STORAGE ABOVE 16MB = (6234096,6234096)', ' ICE127I 0 OPTIONS: OVFLO=RC0 ,PAD=RC0 ,TRUNC=RC0 ,SPANINC=RC16,VLSCMP=N,SZERO=Y', ' ICE128I 0 OPTIONS: SIZE=6291456,MAXLIM=1048576,MINLIM=450560,EQUALS=N,LIST=Y,ER', ' ICE129I 0 OPTIONS: VIO=N,RESDNT=ALL ,SMF=NO   ,WRKSEC=Y,OUTSEC=Y,VERIFY=N,CHALT', ' ICE130I 0 OPTIONS: RESALL=4096,RESINV=0,SVC=109 ,CHECK=Y,WRKREL=Y,OUTREL=Y,CKPT', ' ICE131I 0 OPTIONS: TMAXLIM=6291456,ARESALL=0,ARESINV=0,OVERRGN=65536,CINV=Y,CFW', ' ICE132I 0 OPTIONS: VLSHRT=N,ZDPRINT=Y,IEXIT=N,TEXIT=N,LISTX=N,EFS=NONE    ,EXIT', ' ICE133I 0 OPTIONS: HIPRMAX=OPTIMAL,DSPSIZE=MAX ,ODMAXBF=2097152,SOLRF=Y,VLLONG=', ' ICE235I 0 OPTIONS: NULLOUT=RC0', ' ICE236I 0 OPTIONS: DYNAPCT=10 ,MOWRK=Y,TUNE=STOR,EXPMAX=MAX    ,EXPOLD=50%    ,', ' ICE084I 0 EXCP ACCESS METHOD USED FOR SORTIN', ' ICE231I 0 STORAGE USED FOR OUTFIL : BELOW 16M = 20480, ABOVE 16M = 905216', ' ICE210I 0 SORTOF01 : EXCP USED, LRECL = 100, BLKSIZE = 1000, TYPE = FB', ' ICE210I 0 SORTOF02 : EXCP USED, LRECL = 100, BLKSIZE = 1000, TYPE = FB', ' ICE751I 1 EF-I27321 CB-BASE   F0-BASE   E8-I12417', ' ICE055I 0 INSERT 0, DELETE 0', ' ICE054I 0 RECORDS - IN: 43400, OUT: 43400', ' ICE227I 0 SORTOF01 : DELETED = 25676, REPORT = 0, DATA = 17724', ' ICE228I 0 SORTOF01 : TOTAL IN = 43400, TOTAL OUT = 17724', ' ICE227I 0 SORTOF02 : DELETED = 17735, REPORT = 0, DATA = 25665', ' ICE228I 0 SORTOF02 : TOTAL IN = 43400, TOTAL OUT = 25665', ' ICE052I 0 END OF DFSORT', '1DSNU000I    112 02:04:08.08 DSNUGUTC - OUTPUT START FOR UTILITY, UTILID = MINDT', ' DSNU1044I   112 02:04:08.11 DSNUGTIS - PROCESSING SYSIN AS EBCDIC', '0DSNU050I    112 02:04:08.13 DSNUGUTC -  LOAD DATA', ' DSNU650I  - 112 02:04:08.13 DSNURWI -  INTO TABLE MALEDATA', ' DSNU650I  - 112 02:04:08.13 DSNURWI -   (PID POSITION(1:5) DECIMAL EXTERNAL(5,', ' DSNU650I  - 112 02:04:08.13 DSNURWI -    GENDER POSITION(6:11) CHAR(6),', ' DSNU650I  - 112 02:04:08.13 DSNURWI -    AGE POSITION(12:14) DECIMAL EXTERNAL(3', ' DSNU650I  - 112 02:04:08.13 DSNURWI -    HYPERTENSION POSITION(15:16) DECIMAL E', ' DSNU650I  - 112 02:04:08.13 DSNURWI -    HEART_DISEASE POSITION(17:18) DECIMAL', ' DSNU650I  - 112 02:04:08.13 DSNURWI -    EVER_MARRIED POSITION(19:21) CHAR(3),', ' DSNU650I  - 112 02:04:08.13 DSNURWI -    WORK_TYPE POSITION(22:36) CHAR(15),', ' DSNU650I  - 112 02:04:08.13 DSNURWI -    RESIDENCE_TYPE POSITION(37:44) CHAR(8)', ' DSNU650I  - 112 02:04:08.13 DSNURWI -    AVG_GLUCOSE_LEVEL POSITION(45:52) DECI', ' DSNU650I  - 112 02:04:08.13 DSNURWI -    BMI POSITION(53:60) DECIMAL EXTERNAL(8', ' DSNU650I  - 112 02:04:08.14 DSNURWI -    SMOKING_STATUS POSITION(61:75) CHAR(15', ' DSNU650I  - 112 02:04:08.14 DSNURWI -    STOKE POSITION(76) DECIMAL EXTERNAL(1,', ' DSNU650I  - 112 02:04:08.14 DSNURWI -    NULL1 POSITION(77:100) CHAR(23))', ' DSNU304I  - 112 02:04:08.56 DSNURWT - (RE)LOAD PHASE STATISTICS - NUMBER OF REC', ' DSNU1147I - 112 02:04:08.56 DSNURWT - (RE)LOAD PHASE STATISTICS - TOTAL NUMBER', ' DSN00420.MALEDATA', ' DSNU302I    112 02:04:08.56 DSNURILD - (RE)LOAD PHASE STATISTICS - NUMBER OF IN', ' DSNU300I    112 02:04:08.56 DSNURILD - (RE)LOAD PHASE COMPLETE, ELAPSED TIME=00', ' DSNU3340I   112 02:04:08.56 DSNUGSOR - UTILITY PERFORMS DYNAMIC ALLOCATION OF S', ' DSNU042I    112 02:04:08.67 DSNUGSOR - SORT PHASE STATISTICS -', '                       NUMBER OF RECORDS=17724', '                       ELAPSED TIME=00:00:00', ' DSNU349I  - 112 02:04:08.79 DSNURBXA - BUILD PHASE STATISTICS - NUMBER OF KEYS=', ' DSNU258I    112 02:04:08.79 DSNURBXD - BUILD PHASE STATISTICS - NUMBER OF INDEX', ' DSNU259I    112 02:04:08.79 DSNURBXD - BUILD PHASE COMPLETE, ELAPSED TIME=00:00', ' DSNU010I    112 02:04:08.80 DSNUGBAC - UTILITY EXECUTION COMPLETE, HIGHEST RETU', '1ICE200I 0 IDENTIFIER FROM CALLING PROGRAM IS 0000', ' ICE201I 0 RECORD TYPE IS F - DATA STARTS IN POSITION 1', ' ICE751I 0 C5-I21470 C6-BASE   C7-K96411 C8-I25275 E4-BASE   C9-BASE   E5-I25610', ' ICE143I 0 BLOCKSET     SORT  TECHNIQUE SELECTED', ' ICE250I 0 VISIT http://www.ibm.com/storage/dfsort FOR DFSORT PAPERS, EXAMPLES A', ' ICE000I 0 - CONTROL STATEMENTS FOR 5650-ZOS, Z/OS DFSORT V2R1  - 02:04 ON TUE A', '0          SORT FIELDS=(00006.0,00000.4,A,00012.0,00005.0,A,00001.0,00005.0,A),F', '                          MAT=BI,FILSZ=U000000000017724', '           RECORD TYPE=F,LENGTH=(00016,00016,00016)', '           OPTION MSGPRT=ALL,MSGDDN=UTPRINT,MAINSIZE=MAX,USEWKDD', ' ICE193I 0 ICEAM2 INVOCATION ENVIRONMENT IN EFFECT - ICEAM2 ENVIRONMENT SELECTED', ' ICE089I 1 MINDT01Z.LOAD    .DSNUPROC, INPUT LRECL = 16, TYPE = F', ' ICE093I 0 MAIN STORAGE = (MAX,6291456,6291456)', ' ICE156I 0 MAIN STORAGE ABOVE 16MB = (6234096,6234096)', ' ICE127I 0 OPTIONS: OVFLO=RC0 ,PAD=RC0 ,TRUNC=RC0 ,SPANINC=RC16,VLSCMP=N,SZERO=Y', ' ICE128I 0 OPTIONS: SIZE=6291456,MAXLIM=1048576,MINLIM=450560,EQUALS=N,LIST=Y,ER', ' ICE129I 0 OPTIONS: VIO=N,RESDNT=ALL ,SMF=NO   ,WRKSEC=Y,OUTSEC=Y,VERIFY=N,CHALT', ' ICE130I 0 OPTIONS: RESALL=4096,RESINV=0,SVC=109 ,CHECK=Y,WRKREL=Y,OUTREL=Y,CKPT', ' ICE131I 0 OPTIONS: TMAXLIM=6291456,ARESALL=0,ARESINV=0,OVERRGN=16384,CINV=Y,CFW', ' ICE132I 0 OPTIONS: VLSHRT=N,ZDPRINT=Y,IEXIT=N,TEXIT=N,LISTX=N,EFS=NONE    ,EXIT', ' ICE133I 0 OPTIONS: HIPRMAX=OPTIMAL,DSPSIZE=MAX ,ODMAXBF=0,SOLRF=Y,VLLONG=N,VSAM', ' ICE235I 0 OPTIONS: NULLOUT=RC0', ' ICE236I 0 OPTIONS: DYNAPCT=10 ,MOWRK=Y,TUNE=STOR,EXPMAX=MAX    ,EXPOLD=50%    ,', ' ICE750I 0 DC 0 TC 0 CS DSVVV KSZ 11 VSZ 11', ' ICE752I 0 FSZ=17724 RU  IGN=0 C  AVG=20 0  WSP=461 U  DYN=0 0', ' ICE751I 1 DE-BASE   D5-I18897 D9-BASE   E8-I12417', ' ICE091I 0 OUTPUT LRECL = 16, TYPE = F', ' ICE080I 0 IN MAIN STORAGE SORT', ' ICE055I 0 INSERT 17724, DELETE 17724', ' ICE054I 0 RECORDS - IN: 0, OUT: 0', ' ICE134I 0 NUMBER OF BYTES SORTED: 283584', ' ICE253I 0 RECORDS SORTED - PROCESSED: 17724, EXPECTED: 17724', ' ICE165I 0 TOTAL WORK DATA SET TRACKS ALLOCATED: 30 , TRACKS USED: 0', ' ICE199I 0 MEMORY OBJECT USED AS MAIN STORAGE = 0M BYTES', ' ICE299I 0 MEMORY OBJECT USED AS WORK STORAGE = 0M BYTES', ' ICE180I 0 HIPERSPACE STORAGE USED = 0K BYTES', ' ICE188I 0 DATA SPACE STORAGE USED = 0K BYTES', ' ICE052I 0 END OF DFSORT', '1READY', '   DSN SYSTEM(TBD2)', ' DSN', ""   RUN PROGRAM(INSRTREC) PLAN(INSRTREC) LIB('IBMUSER.LOAD.LIB')"", ' DSN', '   END', ' READY', ' READY', ' END', '']"
,,,,,,         7 //STEP2    EXEC PGM=IDCAMS,IDCAMS,0000,,"  ,MINDT01.DIVYA.CONCSVF,",,,,
,,,,,,        11 //STEP3    EXEC PGM=ICETOOL,ICETOOL,0000,,"  ,MINDT01.DIVYA.CONCSVF,MINDT01.DIVYA.DATAPS1,MINDT01.DIVYA.DUP1,",,,,
,,,,,,        18 //STEP4    EXEC PGM=SORT,SORT,0000,,"  ,MINDT01.DIVYA.DATAPS1,MINDT01.DIVYA.MALEDTA,MINDT01.DIVYA.FEMLDTA,",,,,
,,,,,,"        26 XXDSNUPROC EXEC PGM=DSNUTILB,REGION=&SIZE,",DSNUTILB,0000,,"  ,MINDT01.DIVYA.MALEDTA,",,,,
,,,,,,"        37 //PH02CS04 EXEC PGM=IKJEFT01,DYNAMNBR=20,COND=(4,LT)",IKJEFT01,0000,,"  ,DSNA102.SDSNEXIT,CEE.SCEERUN,",,,,
